SNo,latitude,longitude,state,code,name,address,division
103,14.82678833,76.21354088,Tamil Nadu,KTY,Kotturu,"Kothur Rd, Tamil Nadu",
181,14.13792027,76.20256849,Karnataka,CKVD,Chikkandawadi,"Chikkandawadi, Karnataka",
223,16.878268,75.758306,Karnataka,AYB,Aliyabad,"Bijapur, Karnataka",
255,12.97518,78.257278,Karnataka,COL,Coromandel,"KGF, Karnataka",
286,12.907633,77.706014,Karnataka,CRLM,Carmelaram,"Bengaluru, Karnataka",
287,15.264834,74.047794,Goa,CNR,CHANDAR,"CHANRA (chandor), Goa",
311,11.934891,76.932807,Karnataka,CMNR,CHAMARAJANAGAR,"Chamarajnagar, Karnataka",
312,12.29844,76.637861,Karnataka,CMJ,CHAMARAJAPURAM,"Mysore, Karnataka",
337,14.231154,76.386431,Karnataka,CTA,Chitradurg,"Chitradurga, Karnataka",
347,13.01094072,77.66297057,Karnataka,CSDR,CHANNASANDRA,"Bengaluru, Karnataka",
397,15.227107,76.70013,Karnataka,DAJ,DUROJI,"Bellary, Karnataka",
423,13.183156,77.652122,Karnataka,DJL,Dodajala Lake,"Hosur Road., Karnataka",
567,15.754344,74.49801,Karnataka,DUR,DESUR,"Desur, Karnataka",
568,16.571697,74.855323,Karnataka,CNC,CHINCHLI,"Belagavi, Karnataka",
588,14.515431,75.812314,Karnataka,HRR,HARIHAR,"Harihar, Karnataka",
615,12.659673,77.203824,Karnataka,CPT,CHANNAPATNA,"Channapatna, Karnataka",
628,16.802926,75.719362,Karnataka,IMR,IBRAHIMPUR,"Bijapur, Karnataka",
632,13.216441,77.351193,Karnataka,DBL,DODBELE,"National Highway 4, Karnataka",
646,15.344532,73.897226,Goa,CSM,CANSAULIM,"Arossim Beach Rd, Goa",
715,15.08644671,75.3899777,Karnataka,KALS,KALAS HALT,"State Highway 6, Karnataka",
762,12.401426,76.567029,Karnataka,KJS,Krishnarajasagar,"Mandya District, Karnataka",
795,16.306774,75.891059,Karnataka,KSAR,KUDALA SANGAM,"NH 13, Karnataka",
796,13.31619639,77.14811271,Karnataka,KIAT,KYATSANDRA,"Tumkur, Karnataka",
892,16.3459,75.9005,Karnataka,LMT,ALMATTI,"Bijapur, Karnataka",
958,15.672447,75.610219,Karnataka,MLP,MALLAPUR,"State Highway 30, Karnataka",
963,14.284214,76.081381,Karnataka,MYK,MAYAKONDA,"State Highway 47, Karnataka",
1034,16.620372,75.746926,Karnataka,MVD,MULVAD,"Bijapur, Karnataka",
1035,13.24514195,77.27312551,Karnataka,NDV,NIDVANDA,"NH 207, Karnataka",
1052,13.384142,77.712486,Karnataka,NDY,Nandi Halt,"Nandi, Karnataka",
1114,12.977595,77.568083,Karnataka,SBC,BANGALORE CITY JN,"Bengaluru, Karnataka",
1116,16.069516,75.695659,Karnataka,GED,GULEDAGUDDA RD,"SH 44, Karnataka",
1117,17.118384,75.859907,Karnataka,NBL,NIMBAL,"Bijapur, Karnataka",
